title,playcount,date,devices,traffic,content
Tokyo 2020: Paralympics Live,1338,2021-08-26,Smartphone,Direct traffic,IH000403361
Tokyo 2020: Paralympics Live,1161,2021-08-29,Smartphone,Direct traffic,IH000403364
Tokyo 2020: Today At The Paralympics E12,848,2021-09-04,Desktop,Direct traffic,IH000403384
Tokyo 2020: Paralympics Live,723,2021-08-25,Smartphone,Direct traffic,IH000403360
Tokyo 2020: Today At The Paralympics E12,707,2021-09-04,Desktop,Search engines,IH000403384
Tokyo 2020: Today At The Paralympics E9,705,2021-09-01,Desktop,Direct traffic,IH000403381
Tokyo 2020: Paralympics Live,685,2021-08-30,Smartphone,Direct traffic,IH000403365
Tokyo 2020: Paralympics Live,663,2021-08-26,Desktop,Search engines,IH000403361
Tokyo 2020: Paralympics Live,659,2021-08-28,Smartphone,Direct traffic,IH000403363
Tokyo 2020: Paralympics Live,656,2021-08-26,Desktop,Direct traffic,IH000403361
Tokyo 2020: Swimming,652,2021-08-24,Smartphone,Direct traffic,PI000017060
Tokyo 2020: Today At The Paralympics E9,605,2021-09-01,Desktop,Search engines,IH000403381
Tokyo 2020: Cycling - Road,563,2021-09-03,Smartphone,Direct traffic,PI000017122
Tokyo 2020: Paralympics Live,548,2021-08-27,Smartphone,Direct traffic,IH000403362
Tokyo 2020: Paralympics Live,486,2021-08-24,Smartphone,Direct traffic,IH000403359
Tokyo 2020: Paralympics Live,476,2021-09-01,Smartphone,Direct traffic,IH000403367
Tokyo 2020: Athletics,463,2021-09-04,Smartphone,Direct traffic,PI000017179
Tokyo 2020: Table Tennis,441,2021-08-24,Smartphone,Direct traffic,PI000017062
Tokyo 2020: Paralympics Live,429,2021-08-25,Desktop,Direct traffic,IH000403360
Tokyo 2020: Paralympics Live,428,2021-08-30,Desktop,Direct traffic,IH000403365
Tokyo 2020: Paralympics Live,418,2021-08-30,Desktop,Search engines,IH000403365
Tokyo 2020: Today At The Paralympics,408,2021-09-04,Smartphone,Direct traffic,IH000403384
Tokyo 2020: Paralympics Live,402,2021-08-25,Desktop,Search engines,IH000403360
Tokyo 2020: Paralympics Live,395,2021-08-27,Desktop,Direct traffic,IH000403362
Tokyo 2020: Today At The Paralympics,387,2021-08-29,Smartphone,Direct traffic,IH000403378
Tokyo 2020: Paralympics Live,376,2021-08-27,Desktop,Search engines,IH000403362
Tokyo 2020: Cycling - Road,373,2021-08-30,Smartphone,Direct traffic,PI000017098
Tokyo 2020: Paralympics Live,370,2021-09-01,Desktop,Search engines,IH000403367
Tokyo 2020: Cycling - Track,365,2021-08-25,Smartphone,Direct traffic,PI000017065
Tokyo 2020: Paralympics Live,343,2021-09-01,Desktop,Direct traffic,IH000403367
Tokyo 2020: Paralympics Live,303,2021-08-24,Desktop,Direct traffic,IH000403359
Tokyo 2020: Paralympics Live,293,2021-09-04,Smartphone,Direct traffic,IH000403370
Tokyo 2020: Swimming,290,2021-08-25,Smartphone,Direct traffic,PI000017064
Tokyo 2020: Paralympics Live,281,2021-08-29,Desktop,Direct traffic,IH000403364
Tokyo 2020: Today At The Paralympics,260,2021-08-27,Smartphone,Direct traffic,IH000403376
Tokyo 2020: Today At The Paralympics,254,2021-08-29,Desktop,Direct traffic,IH000403378
Tokyo 2020: Paralympics Live,252,2021-08-24,Desktop,Search engines,IH000403359
Tokyo 2020: Paralympics Live,240,2021-09-03,Smartphone,Direct traffic,IH000403369
Tokyo 2020: Paralympics Live,238,2021-08-31,Desktop,Direct traffic,IH000403366
Tokyo 2020: Paralympics Live,236,2021-08-26,Tablet,Direct traffic,IH000403361
Tokyo 2020: Paralympics Live,232,2021-08-31,Smartphone,Direct traffic,IH000403366
Tokyo 2020: Swimming,225,2021-08-24,Tablet,Direct traffic,PI000017060
Tokyo 2020: Paralympics Live,221,2021-08-29,Tablet,Direct traffic,IH000403364
Tokyo 2020: Paralympics Live,219,2021-08-29,Desktop,Search engines,IH000403364
Tokyo 2020: Paralympics Live,219,2021-09-03,Desktop,Direct traffic,IH000403369
Tokyo 2020: Athletics,214,2021-08-27,Desktop,Direct traffic,PI000017074
Tokyo 2020: Today At The Paralympics,213,2021-08-29,Desktop,Search engines,IH000403378
Tokyo 2020: Today At The Paralympics,210,2021-08-24,Smartphone,Direct traffic,IH000403373
Tokyo 2020: Athletics,210,2021-08-27,Smartphone,Direct traffic,PI000017074
Tokyo 2020: Paralympics Live,205,2021-08-24,Smart TV,Direct traffic,IH000403359
okyo 2020: Today At The Paralympics,203,2021-08-26,Smartphone,Direct traffic,IH000403375
Tokyo 2020: Paralympics Live,201,2021-08-26,Smart TV,Direct traffic,IH000403361
Tokyo 2020: Paralympics Live,201,2021-09-05,Smartphone,Direct traffic,IH000403371
Tokyo 2020: Paralympics Live,191,2021-09-02,Smartphone,Direct traffic,IH000403368
Tokyo 2020,188,2021-08-28,Smartphone,Direct traffic,PI000017087
Tokyo 2020: Paralympics Live,186,2021-09-02,Desktop,Direct traffic,IH000403368
Tokyo 2020: Today At The Paralympics,185,2021-08-25,Smartphone,Direct traffic,IH000403374
Tokyo 2020: Cycling,183,2021-08-27,Smartphone,Direct traffic,PI000017076
Tokyo 2020: Cycling - Road,183,2021-08-30,Desktop,Direct traffic,PI000017098
Tokyo 2020: Cycling,182,2021-08-26,Smartphone,Direct traffic,PI000017070
Tokyo 2020: Today At The Paralympics,180,2021-08-30,Smartphone,Direct traffic,IH000403379
Tokyo 2020: Today At The Paralympics,179,2021-09-04,Smartphone,Direct traffic,IH000403384
Tokyo 2020: Today At The Paralympics,177,2021-08-29,Smartphone,Direct traffic,IH000403378
Tokyo 2020: Paralympics Live,176,2021-08-28,Desktop,Direct traffic,IH000403363
Tokyo 2020: Paralympics Live,174,2021-08-31,Desktop,Search engines,IH000403366
Tokyo 2020: Paralympics Live,169,2021-08-27,Tablet,Direct traffic,IH000403362
Tokyo 2020: Today At The Paralympics,168,2021-08-28,Smartphone,Direct traffic,IH000403377
Tokyo 2020: Paralympics Live,166,2021-08-25,Smart TV,Direct traffic,IH000403360
Tokyo 2020: Today At The Paralympics,166,2021-08-26,Smartphone,Direct traffic,IH000403375
Tokyo 2020: Cycling - Road,163,2021-09-03,Desktop,Search engines,PI000017122
Tokyo 2020: Today At The Paralympics,161,2021-09-01,Smartphone,Direct traffic,IH000403381
Tokyo 2020: Today At The Paralympics,160,2021-08-25,Smart TV,Direct traffic,IH000403374
Tokyo 2020: Equestrian,157,2021-08-26,Smartphone,Direct traffic,PI000017072
Tokyo 2020: Cycling - Road,154,2021-08-30,Desktop,Search engines,PI000017098
Tokyo 2020: Paralympics Live,153,2021-08-25,Tablet,Direct traffic,IH000403360
Tokyo 2020: Paralympics Live,152,2021-08-28,Tablet,Direct traffic,IH000403363
Tokyo 2020: Today At The Paralympics,152,2021-08-29,Tablet,Direct traffic,IH000403378
Tokyo 2020: Cycling - Road,151,2021-09-03,Desktop,Direct traffic,PI000017122
Tokyo 2020: Today At The Paralympics,150,2021-08-25,Smartphone,Direct traffic,IH000403374
Tokyo 2020: Today At The Paralympics,149,2021-08-24,Smart TV,Direct traffic,IH000403373
Tokyo 2020: Today At The Paralympics,148,2021-09-04,Desktop,Direct traffic,IH000403384
Tokyo 2020: Cycling - Road,147,2021-09-01,Smartphone,Direct traffic,PI000017110
Tokyo 2020: Today At The Paralympics,146,2021-09-04,Tablet,Direct traffic,IH000403384
Tokyo 2020: Athletics,145,2021-08-28,Smartphone,Direct traffic,PI000017085
Tokyo 2020: Triathlon,145,2021-08-27,Smartphone,Direct traffic,PI000017080
Tokyo 2020: Today At The Paralympics,143,2021-09-03,Smartphone,Direct traffic,IH000403383
Tokyo 2020: Today At The Paralympics,141,2021-08-26,Smart TV,Direct traffic,IH000403375
Tokyo 2020: Today At The Paralympics,141,2021-08-28,Desktop,Direct traffic,IH000403377
Tokyo 2020: Today At The Paralympics,140,2021-08-28,Smartphone,Direct traffic,IH000403377
Tokyo 2020: Paralympics Live,138,2021-09-03,Desktop,Search engines,IH000403369
