title,playcount,cuml hours spent,date,devices,traffic,content
Tokyo 2020: Paralympics Live,3128,1418.263889,2021-08-26,Smartphone,Direct traffic,IH000403361
Tokyo 2020: Paralympics Live,2071,696.5908333,2021-08-29,Smartphone,Direct traffic,IH000403364
Tokyo 2020: Today At The Paralympics E12,1815,961.3652778,2021-09-04,Desktop,Direct traffic,IH000403384
Tokyo 2020: Paralympics Live,1800,1037.310278,2021-08-25,Smartphone,Direct traffic,IH000403360
Tokyo 2020: Today At The Paralympics E12,1623,1097.885,2021-09-04,Desktop,Search engines,IH000403384
Tokyo 2020: Today At The Paralympics E9,1594,824.6669444,2021-09-01,Desktop,Direct traffic,IH000403381
Tokyo 2020: Paralympics Live,1373,688.8927778,2021-08-30,Smartphone,Direct traffic,IH000403365
Tokyo 2020: Paralympics Live,1365,719.0863889,2021-08-26,Desktop,Search engines,IH000403361
Tokyo 2020: Paralympics Live,1244,475.6327778,2021-08-28,Smartphone,Direct traffic,IH000403363
Tokyo 2020: Paralympics Live,1229,367.0586111,2021-08-26,Desktop,Direct traffic,IH000403361
Tokyo 2020: Swimming,1089,283.1422222,2021-08-24,Smartphone,Direct traffic,PI000017060
Tokyo 2020: Today At The Paralympics E9,1072,108.7019444,2021-09-01,Desktop,Search engines,IH000403381
Tokyo 2020: Cycling - Road,1056,219.0252778,2021-09-03,Smartphone,Direct traffic,PI000017122
Tokyo 2020: Paralympics Live,852,251.8861111,2021-08-27,Smartphone,Direct traffic,IH000403362
Tokyo 2020: Paralympics Live,836,238.3116667,2021-08-24,Smartphone,Direct traffic,IH000403359
Tokyo 2020: Paralympics Live,761,200.0227778,2021-09-01,Smartphone,Direct traffic,IH000403367
Tokyo 2020: Athletics,747,493.9622222,2021-09-04,Smartphone,Direct traffic,PI000017179
Tokyo 2020: Table Tennis,726,435.8061111,2021-08-24,Smartphone,Direct traffic,PI000017062
Tokyo 2020: Paralympics Live,657,186.0986111,2021-08-25,Desktop,Direct traffic,IH000403360
Tokyo 2020: Paralympics Live,651,23.65916667,2021-08-30,Desktop,Direct traffic,IH000403365
Tokyo 2020: Paralympics Live,626,54.92861111,2021-08-30,Desktop,Search engines,IH000403365
Tokyo 2020: Today At The Paralympics,608,129.1458333,2021-09-04,Smartphone,Direct traffic,IH000403384
Tokyo 2020: Paralympics Live,598,140.0152778,2021-08-25,Desktop,Search engines,IH000403360
Tokyo 2020: Paralympics Live,586,367.6675,2021-08-27,Desktop,Direct traffic,IH000403362
Tokyo 2020: Today At The Paralympics,581,164.1480556,2021-08-29,Smartphone,Direct traffic,IH000403378
